Mensagem,solicita_senha,solicita_codigo_autenticacao,solicita_dados_bancarios,solicita_dados_pessoais,solicita_dados_cartao,solicita_atualizacao_cadastro,solicita_pagamento,solicita_clique,solicita_ligacao,menciona_bloqueio_conta,carga_emocional,possui_urgencia,possui_ameaca,possui_linguagem_alarmista,possui_recompensa,possui_reembolso,possui_vantagem_inesperada,possui_oferta_financeira,possui_url,possui_url_encurtada,possui_telefone,possui_pix,possui_erros_ortografia_gramatica,possui_chamada_acao,possivel_golpe,Coluna 27
"Sabia que da pra curtir tudo da Claro? 350 MEGA em casa + 60 GB no celular + Globoplay por R$129,80/mes. Veja+ claro.com.br/vm0i ou ligue 0800 769 1790",0,0,0,0,0,0,0,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
"Seu dia a dia pede MUITA INTERNET! Entao vem para Claro pos: 50GB por R$89,90/mes para voce usar como quiser! Contrate agora: claro.com.br/fqoc",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
"Cliente Claro,nao identificamos pgt fat do serv Movel 168826208 $81,97 02/02/2026 Para ajudar segue cd barra 848600000007819701622026602021688260208036219884Acesse APP ou Minha Claro p2via. A susp acarreta na reducao da velocidade de dados, evite! Regras de susp na sessao Avisos ao Cliente na fat. Se pagou, desconsidere",0,0,0,0,0,0,1,1,0,0,Médio,1,0,1,0,0,0,0,0,0,0,0,1,1,0,
"Claro Multi ta na sua com oferta especial: 600 MEGA de internet em casa + Claro Pos 60 GB por R$139,80/mes. Veja+ em claro.com.br/vm0i ou ligue 0800 769 1790",0,0,0,0,0,0,0,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
"Claro Multi ta na sua com oferta especial: 600 MEGA de internet em casa + Claro Pos 60 GB por R$139,80/mes. Saiba+ em claro.com.br/vm0i ou ligue 0800 769 1790",0,0,0,0,0,0,0,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
"600 MEGA em casa + 60 GB no celular + 4 meses de ChatGPT Plus + 1 mes de degustacao Clato tv+ . So R$139,80/mes. Veja+ em claro.com.br/vm0i ou ligue 0800 769 1790",0,0,0,0,0,0,0,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
"600 MEGA + 60 GB no celular + 4 meses de ChatGPT Plus + 1 mes de degustacao Clato tv+. R$139,80/mes. Saiba+ em claro.com.br/vm0i ou ligue 0800 769 1790",0,0,0,0,0,0,0,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
"Sabia que da pra curtir tudo da Claro? 350 MEGA em casa + 60 GB no celular + Globoplay por R$129,80/mes. Veja+ em claro.com.br/vm0i ou ligue 0800 769 1790",0,0,0,0,0,0,0,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
"Economize na fatura e garanta Claro Fibra 350 MEGA com o menor preco, a partir de R$79,90/mes. claro.com.br/vm0i ou 0800 769 1790",0,0,0,0,0,0,0,1,1,0,Baixo,0,0,0,0,0,0,1,1,1,1,0,1,1,0,
"Entre no ritmo do carnaval com o Claro Pos: 50GB + App Claro TV+ por 30 dias e Passaporte America por R$89,90/mes. Contrate: claro.com.br/fqoc",0,0,0,0,0,0,0,1,0,0,Baixo,0,0,0,0,0,0,1,1,1,0,0,1,1,0,
