registro_original,Mensagem,valor_original,valor_gerado_anterior,valor_gerado_revisado,sugestao_revisao,valor_sugerido,justificativa
686,Nunca envie sua senha ou código recebido por SMS para terceiros.,1,0,0,gerado,0,"Orientação negativa para nunca enviar senha, explicitamente excluída pelo PDF."
798,"ALERTA BANCO INTER: Dispositivo desconhecido conectado a sua conta. Se nao foi voce, altere sua senha urgente: https://inter-seguranca.online",1,0,1,original,1,"Pedido explícito para alterar senha; equivalente a atualizar, incluído no PDF p. 2."
903,Santander: Detectamos acessos simultaneos de locais diferentes na sua conta. Altere suas credenciais: https://santander-seguranca-acesso.info,1,0,0,gerado,0,"Não há pedido explícito de ação sobre senha; menção a credenciais, cancelamento, bloqueio ou reativação não basta, nem o conteúdo presumido do link."
973,ALERTA NUBANK: Dispositivo nao cadastrado tentando acessar sua conta. Bloqueie o acesso imediato no link: https://nubank-bloqueio-dispositivo.site,1,0,0,gerado,0,"Não há pedido explícito de ação sobre senha; menção a credenciais, cancelamento, bloqueio ou reativação não basta, nem o conteúdo presumido do link."
977,Banco do Brasil: Sua senha de autoatendimento foi bloqueada por tentativas incorretas. Recadastre em: https://bb-recadastro-senha.online,1,0,0,inconclusivo,,Recadastre tem objeto omitido; pode se referir à senha na frase anterior. Requer interpretação humana. Regra mantém 0 por não resolver essa elipse.
1011,"Bradesco: Detecção de login em novo celular nao cadastrado. Se nao foi voce, altere suas senhas: https://bradesco-seguranca-login.top",1,0,1,original,1,"Pedido explícito para alterar senha; equivalente a atualizar, incluído no PDF p. 2."
1040,Banco do Brasil: Tentativa de login no seu aplicativo a partir de um novo aparelho. Cancele em: https://bb-cancelamento-login.top,1,0,0,gerado,0,"Não há pedido explícito de ação sobre senha; menção a credenciais, cancelamento, bloqueio ou reativação não basta, nem o conteúdo presumido do link."
1074,ALERTA BANCO INTER: Detectamos tentativa de alteração de senha cadastrada. Cancele no link oficial: https://bancointer-alteracao-senha.site,1,0,0,gerado,0,"Não há pedido explícito de ação sobre senha; menção a credenciais, cancelamento, bloqueio ou reativação não basta, nem o conteúdo presumido do link."
1125,Santander: Detectamos uma tentativa de login suspeita em seu aplicativo. Altere sua senha no link: https://santander-senha-alterar.site,1,0,1,original,1,"Pedido explícito para alterar senha; equivalente a atualizar, incluído no PDF p. 2."
1149,ALERTA BANCO INTER: Tentativa de login efetuada a partir de um dispositivo não reconhecido. Bloqueie em: https://bancointer-bloqueio-login.site,1,0,0,gerado,0,"Não há pedido explícito de ação sobre senha; menção a credenciais, cancelamento, bloqueio ou reativação não basta, nem o conteúdo presumido do link."
1164,Santander: Detectada tentativa de invasão no seu aplicativo Way. Altere suas senhas urgentes em: https://santander-way-invasao.site,1,0,1,original,1,"Pedido explícito para alterar senha; equivalente a atualizar, incluído no PDF p. 2."
1198,URGENTE BANCO INTER: Notificação de invasão no seu aplicativo bancário. Altere suas senhas: https://bancointer-senha-invasao.site,1,0,1,original,1,"Pedido explícito para alterar senha; equivalente a atualizar, incluído no PDF p. 2."
1213,ALERTA NUBANK: Dispositivo desconhecido tentando acessar seu aplicativo bancário. Cancele em: https://nubank-cancelar-acesso.site,1,0,0,gerado,0,"Não há pedido explícito de ação sobre senha; menção a credenciais, cancelamento, bloqueio ou reativação não basta, nem o conteúdo presumido do link."
1234,Bradesco: Tentativa de login no seu aplicativo efetuada por dispositivo não reconhecido. Cancele em: https://bradesco-cancelar-login.online,1,0,0,gerado,0,"Não há pedido explícito de ação sobre senha; menção a credenciais, cancelamento, bloqueio ou reativação não basta, nem o conteúdo presumido do link."
1256,Bradesco: Bloqueio temporário do aplicativo por tentativa de acesso não autorizado. Reative em: https://bradesco-reativacao-app.site,1,0,0,gerado,0,"Não há pedido explícito de ação sobre senha; menção a credenciais, cancelamento, bloqueio ou reativação não basta, nem o conteúdo presumido do link."
1279,"Bradesco: Troca de senha do aplicativo solicitada. Se você não fez essa solicitação, cancele em: https://bradesco-cancelar-senha.top",1,0,0,gerado,0,"Não há pedido explícito de ação sobre senha; menção a credenciais, cancelamento, bloqueio ou reativação não basta, nem o conteúdo presumido do link."
1311,ALERTA BANCO INTER: Tentativa de login efetuada a partir de um dispositivo não reconhecido. Bloqueie em: https://bancointer-bloqueio-acesso.site,1,0,0,gerado,0,"Não há pedido explícito de ação sobre senha; menção a credenciais, cancelamento, bloqueio ou reativação não basta, nem o conteúdo presumido do link."
1322,Bradesco: Notificação de bloqueio temporário do aplicativo por tentativa de invasão. Reative em: https://bradesco-reativacao-invasao.site,1,0,0,gerado,0,"Não há pedido explícito de ação sobre senha; menção a credenciais, cancelamento, bloqueio ou reativação não basta, nem o conteúdo presumido do link."
1342,URGENTE BANCO INTER: Notificação de invasão no seu aplicativo bancário. Altere suas senhas: https://bancointer-alterar-senha-invasao.site,1,0,1,original,1,"Pedido explícito para alterar senha; equivalente a atualizar, incluído no PDF p. 2."
