id_teste,Mensagem,feature_alvo,esperado,pagina_pdf,justificativa
T01_1,Informe sua senha para concluir a verificação.,solicita_senha,1,2,Pedido explícito de senha de acesso.
T01_2,"Por favor, envie a senha de acesso à conta.",solicita_senha,1,2,Pedido explícito de senha de acesso.
T01_3,Poderia digitar sua senha no formulário?,solicita_senha,1,2,Pedido explícito de senha de acesso.
T01_4,Jamais compartilhe sua senha com terceiros.,solicita_senha,0,2,Contraexemplo: ausência da condição explícita; Uma confirmação de troca de senha ou orientação para não compartilhar não é solicitação.
T01_5,Sua senha foi alterada com sucesso.,solicita_senha,0,2,Contraexemplo: ausência da condição explícita; Uma confirmação de troca de senha ou orientação para não compartilhar não é solicitação.
T01_6,"Informe seu CPF, mas não envie sua senha.",solicita_senha,0,2,Contraexemplo: ausência da condição explícita; Uma confirmação de troca de senha ou orientação para não compartilhar não é solicitação.
T02_1,Envie o token de autenticação para validar a operação.,solicita_codigo_autenticacao,1,3,"Pedido de código de autenticação, token ou verificação recebido por SMS/WhatsApp."
T02_2,Informe o código recebido por WhatsApp.,solicita_codigo_autenticacao,1,3,"Pedido de código de autenticação, token ou verificação recebido por SMS/WhatsApp."
T02_3,Poderia digitar o código de verificação?,solicita_codigo_autenticacao,1,3,"Pedido de código de autenticação, token ou verificação recebido por SMS/WhatsApp."
T02_4,O código de acesso será enviado por SMS.,solicita_codigo_autenticacao,0,3,Contraexemplo: ausência da condição explícita; Código de produto ou cupom não conta; código de segurança do cartão pertence à feature de cartão.
T02_5,Informe o código do produto comprado.,solicita_codigo_autenticacao,0,3,Contraexemplo: ausência da condição explícita; Código de produto ou cupom não conta; código de segurança do cartão pertence à feature de cartão.
T02_6,Digite o código de segurança do cartão.,solicita_codigo_autenticacao,0,3,Contraexemplo: ausência da condição explícita; Código de produto ou cupom não conta; código de segurança do cartão pertence à feature de cartão.
T03_1,Envie sua agência e o número da conta bancária.,solicita_dados_bancarios,1,4,"Pedido de banco, agência, número da conta ou dados bancários."
T03_2,Precisamos que você informe seus dados bancários.,solicita_dados_bancarios,1,4,"Pedido de banco, agência, número da conta ou dados bancários."
T03_3,Poderia confirmar o banco e a agência?,solicita_dados_bancarios,1,4,"Pedido de banco, agência, número da conta ou dados bancários."
T03_4,Seu banco aprovou a transferência.,solicita_dados_bancarios,0,4,Contraexemplo: ausência da condição explícita; Conta ativa e conta de e-mail não são pedidos de dados bancários.
T03_5,Informe o número do cartão e o CVV.,solicita_dados_bancarios,0,4,Contraexemplo: ausência da condição explícita; Conta ativa e conta de e-mail não são pedidos de dados bancários.
T03_6,Não compartilhe os dados da sua conta bancária.,solicita_dados_bancarios,0,4,Contraexemplo: ausência da condição explícita; Conta ativa e conta de e-mail não são pedidos de dados bancários.
T04_1,Envie seu nome completo e sua data de nascimento.,solicita_dados_pessoais,1,5,"Pedido de identificação ou contato: CPF, RG, nome completo, nascimento, endereço, telefone ou e-mail."
T04_2,Informe seu telefone para retorno.,solicita_dados_pessoais,1,5,"Pedido de identificação ou contato: CPF, RG, nome completo, nascimento, endereço, telefone ou e-mail."
T04_3,Poderia confirmar seu endereço de e-mail?,solicita_dados_pessoais,1,5,"Pedido de identificação ou contato: CPF, RG, nome completo, nascimento, endereço, telefone ou e-mail."
T04_4,Seu CPF já consta no cadastro.,solicita_dados_pessoais,0,5,Contraexemplo: ausência da condição explícita; CPF apenas mencionado não basta. Listas e construções não previstas podem não ser reconhecidas.
T04_5,Nunca envie seu RG por mensagem.,solicita_dados_pessoais,0,5,Contraexemplo: ausência da condição explícita; CPF apenas mencionado não basta. Listas e construções não previstas podem não ser reconhecidas.
T04_6,Confirmamos o recebimento do seu endereço.,solicita_dados_pessoais,0,5,Contraexemplo: ausência da condição explícita; CPF apenas mencionado não basta. Listas e construções não previstas podem não ser reconhecidas.
T05_1,Digite o CVV do seu cartão.,solicita_dados_cartao,1,6,"Pedido de número, validade, CVV/CVC, nome impresso ou código de segurança do cartão."
T05_2,Informe o nome impresso no cartão e a validade.,solicita_dados_cartao,1,6,"Pedido de número, validade, CVV/CVC, nome impresso ou código de segurança do cartão."
T05_3,"Envie o número, a validade e o código de segurança do cartão.",solicita_dados_cartao,1,6,"Pedido de número, validade, CVV/CVC, nome impresso ou código de segurança do cartão."
T05_4,Seu cartão chegará amanhã.,solicita_dados_cartao,0,6,Contraexemplo: ausência da condição explícita; Aviso de entrega do cartão não é solicitação; pedido de agência não pertence a esta feature.
T05_5,Informe a agência e a conta bancária.,solicita_dados_cartao,0,6,Contraexemplo: ausência da condição explícita; Aviso de entrega do cartão não é solicitação; pedido de agência não pertence a esta feature.
T05_6,Não envie seu CVV nem o número do cartão.,solicita_dados_cartao,0,6,Contraexemplo: ausência da condição explícita; Aviso de entrega do cartão não é solicitação; pedido de agência não pertence a esta feature.
T06_1,Atualize seus dados cadastrais para continuar.,solicita_atualizacao_cadastro,1,7,"Pedido para atualizar, confirmar, regularizar ou completar cadastro/dados."
T06_2,Acesse o link para regularizar seu cadastro.,solicita_atualizacao_cadastro,1,7,"Pedido para atualizar, confirmar, regularizar ou completar cadastro/dados."
T06_3,Poderia confirmar seus dados cadastrais?,solicita_atualizacao_cadastro,1,7,"Pedido para atualizar, confirmar, regularizar ou completar cadastro/dados."
T06_4,Seu cadastro já está atualizado.,solicita_atualizacao_cadastro,0,7,Contraexemplo: ausência da condição explícita; Cadastro desatualizado é um estado; sem pedido não ativa esta feature.
T06_5,O cadastro está incompleto.,solicita_atualizacao_cadastro,0,7,Contraexemplo: ausência da condição explícita; Cadastro desatualizado é um estado; sem pedido não ativa esta feature.
